Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.106-52.123.243.10-57177-443-6,192.168.1.106,57177,52.123.243.10,443,6,16/05/2026 03:55:03 AM,420239,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.138794828657026,210119.5,250976.94538044726,387587.0,32652.0,0,0,0,0,0,387587.0,387587.0,0.0,387587.0,387587.0,0,0,0,0,20,40,2.3795982762190087,4.759196552438017,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,255,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.106-34.160.81.0-57627-443-6,192.168.1.106,57627,34.160.81.0,443,6,16/05/2026 03:55:07 AM,6183690,2,3,1.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.0,0.0,0.0,0.0,0.1617157393077596,0.808578696538798,1545922.5,2778813.530661662,5706832.0,2158.0,5795331.0,5795331.0,0.0,5795331.0,5795331.0,6095191.0,3047595.5,3763780.196725162,5708990.0,386201.0,0,0,0,0,40,72,0.3234314786155192,0.4851472179232788,0.0,1.0,0.33333333333333337,0.5163977794943222,0.26666666666666666,2,0,0,0,5,0,0,0,1.0,0.4,0.5,0.0,0,0,0,0,0,0,2,1,3,0,253,1048,0,20,88499.0,0.0,88499.0,88499.0,5706832.0,0.0,5706832.0,5706832.0,NeedManualLabel
192.168.1.106-216.239.34.157-54076-443-6,192.168.1.106,54076,216.239.34.157,443,6,16/05/2026 03:55:25 AM,534031,15,19,2225.0,9302.0,1320.0,0.0,148.33333333333331,347.7233437799709,2824.0,0.0,489.578947368421,918.7313303191208,21584.88926672796,63.66671597716237,16182.757575757574,33313.9622043355,121628.0,0.0,432627.0,30901.928571428572,58666.18801380765,167215.0,0.0,412403.0,22911.277777777777,35008.68390557768,98963.0,0.0,0,0,0,0,336,392,28.088257048748105,35.578458928414264,0.0,2824.0,329.34285714285727,727.0759707395719,528639.4672268907,2,2,0,16,33,0,0,0,1.0,339.02941176470586,148.33333333333334,489.57894736842104,0,0,0,11527,17,37484,0,0,0,0,65535,1048,7,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.106-216.239.34.157-54397-443-6,192.168.1.106,54397,216.239.34.157,443,6,16/05/2026 03:55:25 AM,272833,14,16,2225.0,8339.0,1320.0,0.0,158.92857142857142,358.32805430986633,4236.0,0.0,521.1875,1110.6682204120787,38719.656346556316,109.95737319165937,9408.03448275862,21461.224230296233,83791.0,0.0,215671.0,16590.07692307692,29214.891674913375,83881.0,0.0,189042.0,12602.800000000001,21031.521992340113,55121.0,3.0,0,0,0,0,304,332,51.313440822774375,58.643932368885,0.0,4236.0,340.77419354838696,842.0769050261944,709093.5139784943,2,2,0,14,29,0,0,0,1.0,352.1333333333333,158.92857142857142,521.1875,0,0,0,10564,15,83223,0,0,0,0,65535,1085,7,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-57993-135-6,192.168.56.101,57993,192.168.56.1,135,6,16/05/2026 03:56:13 AM,640,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4687.5,320.0,179.60512242138307,447.0,193.0,640.0,640.0,0.0,640.0,640.0,0,0,0,0,0,0,0,0,0,44,24,3124.9999999999995,1562.4999999999998,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-57993-445-6,192.168.56.101,57993,192.168.56.1,445,6,16/05/2026 03:56:13 AM,549,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5464.48087431694,274.5,249.60869375885127,451.0,98.0,549.0,549.0,0.0,549.0,549.0,0,0,0,0,0,0,0,0,0,44,24,3642.9872495446266,1821.4936247723133,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-57998-135-6,192.168.56.101,57998,192.168.56.1,135,6,16/05/2026 03:56:15 AM,998,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3006.0120240480965,499.0,429.9209229614209,803.0,195.0,998.0,998.0,0.0,998.0,998.0,0,0,0,0,0,0,0,0,0,44,24,2004.0080160320642,1002.0040080160321,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-57993-139-6,192.168.56.101,57993,192.168.56.1,139,6,16/05/2026 03:56:15 AM,840,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3571.428571428571,420.0,335.1686142824235,657.0,183.0,840.0,840.0,0.0,840.0,840.0,0,0,0,0,0,0,0,0,0,44,24,2380.9523809523807,1190.4761904761904,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,8192,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-58000-135-6,192.168.56.101,58000,192.168.56.1,135,6,16/05/2026 03:56:16 AM,641,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4680.1872074882995,320.5,226.98127676088177,481.0,160.0,641.0,641.0,0.0,641.0,641.0,0,0,0,0,0,0,0,0,0,44,24,3120.1248049921996,1560.0624024960998,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.101-192.168.56.1-57993-5357-6,192.168.56.101,57993,192.168.56.1,5357,6,16/05/2026 03:56:16 AM,614,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4885.99348534202,307.0,178.19090885900997,433.0,181.0,614.0,614.0,0.0,614.0,614.0,0,0,0,0,0,0,0,0,0,44,24,3257.328990228013,1628.6644951140065,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
