Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.106-80.83.19.46-64515-80-6,192.168.1.106,64515,80.83.19.46,80,6,15/05/2026 07:32:41 PM,3674,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.3658138268917,3674.0,0.0,3674.0,3674.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,272.18290691344583,272.18290691344583,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,253,501,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.106-23.48.214.72-64514-80-6,192.168.1.106,64514,23.48.214.72,80,6,15/05/2026 07:32:41 PM,51770,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.948618891249765,25885.0,16037.181797310897,37225.0,14545.0,0,0,0,0,0,37225.0,37225.0,0.0,37225.0,37225.0,0,0,0,0,20,40,19.316206297083255,38.63241259416651,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,255,131,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.106-23.11.40.157-64513-80-6,192.168.1.106,64513,23.11.40.157,80,6,15/05/2026 07:32:41 PM,60620,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.99241174529858,60620.0,0.0,60620.0,60620.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16.49620587264929,16.49620587264929,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,254,501,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.106-172.64.155.209-52962-443-6,192.168.1.106,52962,172.64.155.209,443,6,15/05/2026 07:32:50 PM,4975,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.01005025125625,4975.0,0.0,4975.0,4975.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,201.00502512562812,201.00502512562812,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,255,16,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
140.82.112.26-192.168.1.106-443-65406-6,140.82.112.26,443,192.168.1.106,65406,6,15/05/2026 07:32:40 PM,62010523,6,5,108.0,76.0,41.0,0.0,18.0,20.464603587658374,45.0,0.0,15.2,21.040437257813824,2.967238318567318,0.1773892473056549,6201052.299999999,1.4387550320902798E7,4.5003979E7,2.0,6.0227427E7,1.20454854E7,1.9489147238812666E7,4.5008532E7,2.0,6.2009455E7,1.5502363749999998E7,2.0860244684573546E7,4.5207072E7,502.0,1,0,0,0,132,112,0.09675777125762994,0.08063147604802495,0.0,45.0,17.5,18.985640506828982,360.45454545454544,1,0,0,5,11,0,0,0,0.0,19.09090909090909,18.0,15.2,0,0,0,0,0,0,2,36,1,25,96,255,2,20,104357.0,141144.1703790844,204161.0,4553.0,2.9899937E7,2.136034104305285E7,4.5003979E7,1.4795895E7,NeedManualLabel
140.82.112.26-192.168.1.106-443-65406-6,140.82.112.26,443,192.168.1.106,65406,6,15/05/2026 07:33:42 PM,953310,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.293860339239072,190662.0,197636.27733161743,411212.0,1.0,165479.0,82739.5,117009.90883040632,165478.0,1.0,787406.0,393703.0,24761.465263590522,411212.0,376194.0,0,0,0,0,60,60,3.146930169619536,3.146930169619536,0.0,0.0,0.0,0.0,0.0,1,0,1,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,96,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
52.123.243.7-192.168.1.106-443-64516-6,52.123.243.7,443,192.168.1.106,64516,6,15/05/2026 07:32:52 PM,87474158,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057159738536723036,2.18685395E7,2.849376133530441E7,5.9904415E7,123.0,5.9904538E7,5.9904538E7,0.0,5.9904538E7,5.9904538E7,8.7474035E7,4.37370175E7,2.2864345145821355E7,5.9904551E7,2.7569484E7,0,0,0,0,40,60,0.022863895414689216,0.03429584312203382,0.0,0.0,0.0,0.0,0.0,1,0,0,0,5,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,65535,1024,0,20,129.5,9.192388155425117,136.0,123.0,4.37369495E7,2.2864248979299113E7,5.9904415E7,2.7569484E7,NeedManualLabel
192.168.1.106-80.83.19.11-54831-443-6,192.168.1.106,54831,80.83.19.11,443,6,15/05/2026 07:34:25 PM,10136887,6,7,2248.0,646.0,1384.0,0.0,374.6666666666667,582.1101843007616,319.0,0.0,92.28571428571429,137.80265392426747,285.49198585325064,1.282444995194284,844740.5833333334,2902577.410838338,1.0061584E7,0.0,75297.0,15059.4,19721.075688207275,45760.0,0.0,1.0134335E7,1689055.8333333335,4121712.741911664,1.0102448E7,2.0,0,0,0,0,132,152,0.5918976900896695,0.6905473051046145,0.0,1384.0,206.7142857142857,403.0494202512084,162448.83516483518,1,2,0,6,12,0,0,0,1.0,222.6153846153846,374.6666666666667,92.28571428571429,0,0,0,2831,5,97630,6,2248,7,646,65535,501,3,20,75297.0,0.0,75297.0,75297.0,1.0061584E7,0.0,1.0061584E7,1.0061584E7,NeedManualLabel
192.168.1.106-80.83.19.11-54831-443-6,192.168.1.106,54831,80.83.19.11,443,6,15/05/2026 07:34:35 PM,305,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6557.377049180328,305.0,0.0,305.0,305.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,3278.688524590164,3278.688524590164,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,253,501,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
104.18.39.21-192.168.1.106-443-64505-6,104.18.39.21,443,192.168.1.106,64505,6,15/05/2026 07:32:45 PM,101355980,14,8,168.0,196.0,24.0,0.0,12.0,12.4529885199065,28.0,0.0,24.5,9.899494936611665,3.591302654268648,0.21705675382942377,4826475.238095238,8762337.501192413,2.0683819E7,230.0,1.0135598E8,7796613.846153847,1.0142990020852134E7,2.0683819E7,3323.0,1.00953709E8,1.4421958428571425E7,9756026.599918615,2.0687279E7,72708.0,1,0,0,0,292,172,0.13812702516417877,0.078929728665245,0.0,28.0,16.869565217391305,12.703987734086732,161.39130434782615,0,0,0,14,22,0,0,0,0.0,17.636363636363637,12.0,24.5,0,0,0,104,4,355,2,33,1,39,16,253,6,20,11813.0,18052.191348974782,44098.0,3323.0,2.01206096E7,329122.1068005004,2.0683819E7,1.9829645E7,NeedManualLabel
